PopPUNK	Cluster
S_aur_Pop1	S_aur_SC1_ST22
S_aur_Pop2	S_aur_SC2_ST5
S_aur_Pop3	S_aur_SC3_ST45
S_aur_Pop4	S_aur_SC4_ST36
S_aur_Pop5	S_aur_SC5_ST8
S_aur_Pop6	S_aur_SC6_ST239
S_aur_Pop7	S_aur_SC7_ST1
S_aur_Pop8	S_aur_SC8_ST15
S_aur_Pop9	S_aur_SC9_ST59
S_aur_Pop10	S_aur_SC10_ST130
S_aur_Pop11	S_aur_SC11_ST25
S_aur_Pop12	S_aur_SC12_ST97
S_aur_Pop13	S_aur_SC13_ST109
S_aur_Pop14	S_aur_SC14_ST188
S_aur_Pop15	S_aur_SC15_ST72
S_aur_Pop16	S_aur_SC16_ST121
S_aur_Pop17	S_aur_SC17_ST772
S_aur_Pop18	S_aur_SC18_ST45
S_aur_Pop19	S_aur_SC19_ST88
S_aur_Pop20	S_aur_SC20_ST12
S_aur_Pop21	S_aur_SC21_ST50
S_aur_Pop22	S_aur_SC22_ST3092
S_aur_Pop23	S_aur_SC23_ST80
S_aur_Pop24	S_aur_SC24_ST20
S_aur_Pop25	S_aur_SC25_ST6
S_aur_Pop26	S_aur_SC26_ST398
S_aur_Pop27	S_aur_SC27_ST93
S_aur_Pop28	S_aur_SC28_ST151
S_aur_Pop29	S_aur_SC29_ST152
S_aur_Pop30	S_aur_SC30_ST1156
S_aur_Pop31	S_aur_SC31_ST3126
S_aur_Pop32	S_aur_SC32_ST779
S_aur_Pop33	S_aur_SC33_ST133
