"ST10-1"	"ST10-1 x ST10-2"	"ST10-3"	"ST12"	"ST14"	"ST58"	"ST59"	"ST59 x ST372"	"ST69"	"ST73"	"ST95"	"ST127"	"ST131"	"ST420"	"ST452"	"ST543"
"ST10-1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ST10-1 x ST10-2"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ST10-3"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"ST12"	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
"ST14"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"ST58"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"ST59"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"ST59 x ST372"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"ST69"	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"ST73"	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
"ST95"	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
"ST127"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"ST131"	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0
"ST420"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
"ST452"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"ST543"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
